expeditionCode,materialSampleID,photographer,OriginalUrl
BALI_2012,BALI_5751,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5109.jpg
BALI_2012,BALI_5753,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2287.jpg
BALI_2012,BALI_5753,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2718.jpg
BALI_2012,BALI_5754,Andrianus Sembiring,https://photos.geome-db.org/biocodephotos/4444+4444+0114+6869.jpg
BALI_2012,BALI_5755,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2345.jpg
BALI_2012,BALI_5755,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2753.jpg
BALI_2012,BALI_5757,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5161.jpg
BALI_2012,BALI_5757,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5300.jpg
BALI_2012,BALI_5758,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2483.jpg
BALI_2012,BALI_5758,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2913.jpg
BALI_2012,BALI_5759,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5131.jpg
BALI_2012,BALI_5759,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5199.jpg
BALI_2012,BALI_5759,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5311.jpg
BALI_2012,BALI_5760,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2482.jpg
BALI_2012,BALI_5760,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2911.jpg
BALI_2012,BALI_5761,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2370.jpg
BALI_2012,BALI_5761,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2557.jpg
BALI_2012,BALI_5761,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2601.jpg
BALI_2012,BALI_5761,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2800.jpg
BALI_2012,BALI_3634,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+0717.jpg
BALI_2012,BALI_5762,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2282.jpg
BALI_2012,BALI_5762,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2510.jpg
BALI_2012,BALI_5763,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2380.jpg
BALI_2012,BALI_5763,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2610.jpg
BALI_2012,BALI_5764,IBRC 2013 Class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+5271.jpg
BALI_2012,BALI_5765,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2549.jpg
BALI_2012,BALI_5765,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2790.jpg
BALI_2012,BALI_5766,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2317.jpg
BALI_2012,BALI_5766,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2547.jpg
BALI_2012,BALI_5767,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2682.jpg
BALI_2012,BALI_5767,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2915.jpg
BALI_2012,BALI_5768,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2304.jpg
BALI_2012,BALI_5768,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2527.jpg
BALI_2012,BALI_5768,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2770.jpg
BALI_2012,BALI_5769,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2426.jpg
BALI_2012,BALI_5769,IBRC 2012 class,https://photos.geome-db.org/biocodephotos/4444+4444+0214+2852.jpg
