expeditionCode,materialSampleID,photographer,OriginalUrl
IRLA_ARMS_June_2009,BIRL_0104,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0950.jpg
IRLA_ARMS_June_2009,BIRL_0104,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0951.jpg
IRLA_ARMS_June_2009,BIRL_0105,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0947.jpg
IRLA_ARMS_June_2009,BIRL_0105,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0948.jpg
IRLA_ARMS_June_2009,BIRL_0105,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0949.jpg
IRLA_ARMS_June_2009,BIRL_0106,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0946.jpg
IRLA_ARMS_June_2009,BIRL_0107,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0943.jpg
IRLA_ARMS_June_2009,BIRL_0107,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0944.jpg
IRLA_ARMS_June_2009,BIRL_0107,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0945.jpg
IRLA_ARMS_June_2009,BIRL_0108,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0941.jpg
IRLA_ARMS_June_2009,BIRL_0108,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0942.jpg
IRLA_ARMS_June_2009,BIRL_0109,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0940.jpg
IRLA_ARMS_June_2009,BIRL_0011,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1085.jpg
IRLA_ARMS_June_2009,BIRL_0011,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1086.jpg
IRLA_ARMS_June_2009,BIRL_0110,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0938.jpg
IRLA_ARMS_June_2009,BIRL_0110,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0939.jpg
IRLA_ARMS_June_2009,BIRL_0111,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0937.jpg
IRLA_ARMS_June_2009,BIRL_0112,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0935.jpg
IRLA_ARMS_June_2009,BIRL_0112,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0936.jpg
IRLA_ARMS_June_2009,BIRL_0113,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0893.jpg
IRLA_ARMS_June_2009,BIRL_0113,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0934.jpg
IRLA_ARMS_June_2009,BIRL_0114,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0933.jpg
IRLA_ARMS_June_2009,BIRL_0115,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0931.jpg
IRLA_ARMS_June_2009,BIRL_0115,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0932.jpg
IRLA_ARMS_June_2009,BIRL_0116,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0929.jpg
IRLA_ARMS_June_2009,BIRL_0116,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0930.jpg
IRLA_ARMS_June_2009,BIRL_0117,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0926.jpg
IRLA_ARMS_June_2009,BIRL_0117,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0927.jpg
IRLA_ARMS_June_2009,BIRL_0117,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0928.jpg
IRLA_ARMS_June_2009,BIRL_0118,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0923.jpg
IRLA_ARMS_June_2009,BIRL_0118,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0924.jpg
IRLA_ARMS_June_2009,BIRL_0118,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0925.jpg
IRLA_ARMS_June_2009,BIRL_0119,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0922.jpg
IRLA_ARMS_June_2009,BIRL_0120,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0919.jpg
IRLA_ARMS_June_2009,BIRL_0120,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0920.jpg
IRLA_ARMS_June_2009,BIRL_0120,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+0921.jpg
IRLA_ARMS_June_2009,BIRL_0121,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1024.jpg
IRLA_ARMS_June_2009,BIRL_0121,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1025.jpg
IRLA_ARMS_June_2009,BIRL_0122,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1021.jpg
IRLA_ARMS_June_2009,BIRL_0122,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1022.jpg
IRLA_ARMS_June_2009,BIRL_0122,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1023.jpg
IRLA_ARMS_June_2009,BIRL_0123,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1019.jpg
IRLA_ARMS_June_2009,BIRL_0123,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1020.jpg
IRLA_ARMS_June_2009,BIRL_0124,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1017.jpg
IRLA_ARMS_June_2009,BIRL_0124,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1018.jpg
IRLA_ARMS_June_2009,BIRL_0126,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1012.jpg
IRLA_ARMS_June_2009,BIRL_0126,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1013.jpg
IRLA_ARMS_June_2009,BIRL_0127,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1010.jpg
IRLA_ARMS_June_2009,BIRL_0127,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1011.jpg
IRLA_ARMS_June_2009,BIRL_0128,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1009.jpg
IRLA_ARMS_June_2009,BIRL_0129,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1007.jpg
IRLA_ARMS_June_2009,BIRL_0129,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1008.jpg
IRLA_ARMS_June_2009,BIRL_0013,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1004.jpg
IRLA_ARMS_June_2009,BIRL_0013,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1005.jpg
IRLA_ARMS_June_2009,BIRL_0013,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1083.jpg
IRLA_ARMS_June_2009,BIRL_0013,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1084.jpg
IRLA_ARMS_June_2009,BIRL_0130,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1006.jpg
IRLA_ARMS_June_2009,BIRL_0131,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0130.jpg
IRLA_ARMS_June_2009,BIRL_0131,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0131.jpg
IRLA_ARMS_June_2009,BIRL_0131,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0150.jpg
IRLA_ARMS_June_2009,BIRL_0131,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0151.jpg
IRLA_ARMS_June_2009,BIRL_0131,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0152.jpg
IRLA_ARMS_June_2009,BIRL_0131,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0153.jpg
IRLA_ARMS_June_2009,BIRL_0132,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0147.jpg
IRLA_ARMS_June_2009,BIRL_0132,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0148.jpg
IRLA_ARMS_June_2009,BIRL_0132,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0149.jpg
IRLA_ARMS_June_2009,BIRL_0136,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0128.jpg
IRLA_ARMS_June_2009,BIRL_0136,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0129.jpg
IRLA_ARMS_June_2009,BIRL_0137,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0126.jpg
IRLA_ARMS_June_2009,BIRL_0137,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0127.jpg
IRLA_ARMS_June_2009,BIRL_0138,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0124.jpg
IRLA_ARMS_June_2009,BIRL_0138,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0125.jpg
IRLA_ARMS_June_2009,BIRL_0139,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0122.jpg
IRLA_ARMS_June_2009,BIRL_0139,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0123.jpg
IRLA_ARMS_June_2009,BIRL_0014,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1080.jpg
IRLA_ARMS_June_2009,BIRL_0014,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1081.jpg
IRLA_ARMS_June_2009,BIRL_0014,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0810+1082.jpg
IRLA_ARMS_June_2009,BIRL_0140,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0120.jpg
IRLA_ARMS_June_2009,BIRL_0140,Chris Meyer,https://photos.geome-db.org/biocodephotos/4444+4444+0910+0121.jpg
